name,link,description,uninstalled
Adobe Lightroom Classic,https://www.adobe.com/it/products/photoshop-lightroom-classic.html,"alas, the best photo editing software out there. I hate Adobe, but it works so damn good. I’m doing my best to completely switch to the two following programs but, damn, it’s so hard. Also: I have to keep Lightroom on my device because it’s impossible to move photography edits committed with Lightroom to Darktable.",
Android File Transfer,https://www.android.com/filetransfer/,,
AppCleaner,https://freemacsoft.net/appcleaner/,,
AppTrap,http://onnati.net/apptrap/AppTrap,,
Audacity,https://www.audacityteam.org/,,
Backtrack,https://www.backtrack.team/,,
balenaEtcher,https://www.balena.io/etcher/,,
BitBar,https://getbitbar.com,,
Blackhole,https://blackhole.run/,,1
Blockstack,https://blockstack.org/,,1
Clean Me,https://kevin-de-koninck.github.io/Clean-Me/,,
CopyQ,https://hluk.github.io/CopyQ/,,
Darktable,https://www.darktable.org/,,
Digikam,https://www.digikam.org/,,
dupeGuru,https://dupeguru.voltaicideas.net/,,
DWA Service,https://www.dwservice.net/en/download.html?_request=main&page=download,,
expanso,https://espanso.org/,,
FileZilla,https://filezilla-project.org/,,
Final Cut Pro,https://www.apple.com/final-cut-pro/,,
Mozilla Firefox,https://www.mozilla.org/en-US/exp/firefox/Mozilla Firefox,,
Mozilla Firefox Developer Edition,https://www.mozilla.org/en-US/firefox/developer/,,
GIMP,https://www.gimp.org/,,1
GitHub Desktop,https://desktop.github.com/,,
GitUp,http://gitup.co/,,
Get It,https://github.com/Kevin-De-Koninck/Get-It,,
GPG Tools,https://gpgtools.org/keychain/index.html,,1
HandBrake,https://handbrake.fr/,,1
Hidden Bar,https://github.com/dwarvesf/hidden,,
Inkscape,https://inkscape.org,,
iTerm,http://iterm.sourceforge.net,,
Jami,https://jami.net/,,
Jitsi Meet,https://meet.jit.si,,1
Joplin,https://joplinapp.org/,,
,,,
Karabiner Elements,https://karabiner-elements.pqrs.org/,,
Keybase,https://keybase.io/,,
LBRY,https://lbry.com/,,
LibreOffice,https://www.libreoffice.org/,,
MacDown,http://macdown.uranusjr.com/,,1
MacVim,https://macvim-dev.github.io/macvim/,,
MEGA Sync,https://mega.nz/sync,,1
NetNewsWire,https://ranchero.com/netnewswire/,,
Nextcloud Desktop client,https://nextcloud.com/,,
OmegaT,http://www.omegat.org/,,1
OnionShare,https://onionshare.org/,,
OnlyOffice,https://www.onlyoffice.com/,,1
OpenWhyd,https://openwhyd.org,,1
Pock,https://pock.dev/,,
Pocket,https://getpocket.com/,,
Protonmail Bridge,https://protonmail.com/bridge/,,
ProtonVPN,https://protonvpn.com/,,
qBittorrent,https://qbittorrent.org/,,
Rectangle,https://rectangleapp.com/,,
Signal,https://signal.org/,,
Skype,https://www.skype.com/,,
smcFanControl,https://github.com/hholtmann/smcFanControl,,
Sozi,http://sozi.baierouge.fr/,,1
Spotify,https://www.spotify.com/,,
Sub It,https://github.com/Kevin-De-Koninck/Sub-It,,
Telegram,https://telegram.org/,,
The Desk,https://thedesk.top/,,1
Tor browser,https://www.torproject.org/projects/torbrowser.html,,
TweetDeck,https://tweetdeck.twitter.com/,,
uTox,https://github.com/uTox/uTox,,
VideoLan,https://www.videolan.org/vlc/,,
WhatsApp,https://www.whatsapp.com/,,
Zettlr,https://www.zettlr.com/,,
