"author","title"
"Aciman","Find Me"
"Agassi","Open"
"Andersson","Storia meravigliosa dei viaggi in treno"
"Aquino","Front-End Web Development: The Big Nerd Ranch Guide"
"Bader","Python Tricks: The Book"
"Baricco","The Game"
"Beckett","En attandant Godot"
"Beckett","Watt"
"Bell, Gemmell","Your Life, Uploaded: The Digital Way to Better Memory, Health, and Productivity"
"Berkun","Confessions of A Public Speaker"
"Borelli","Metodi di manipolazione"
"Bradbury","Farenheit 451"
"Brunton, Nissenbaum","Obfuscation"
"Bückler","Non esistono piccole storie"
"Calvino","Fame a Bevera"
"Calvino","Il barone rampante"
"Calvino","Il visconte dimezzato"
"Calvino","Le città invisibili"
"Carrère","Limonov"
"Cavallo, Favilli","Storie della buonanotte per bambine ribelli"
"Chimamanda Ngozi Adichie","Dovremmo essere tutti femministi"
"Danielewski","House of Leaves"
"Ferlinghetti","Her"
"Ferrante","L’amica Geniale"
"Ferrante","L’amore molesto"
"Freud","Compendio di Psicoanalisi"
"García Márquez","Cent’anni di solitudine"
"García Márquez","L’amore ai tempi del colera"
"Gipi","Momenti Straordinari con Applausi Finti"
"Harari","21 lezioni per il XXI secolo"
"Harari","Sapiens"
"Henderson","The Book of Barely Imagined Beings: A 21st Century Bestiary"
"Hugo","Delitto e castigo"
"Hugo","Les misérables"
"Ian Urbina","Outlaw Ocean"
"Joyce","Finnegans Wake"
"Julien","Essere o Vivere"
"Kai-Fu Lee","AI superpowers. China, Silicon Valley and the New World Order"
"Kondo","Il magico potere del riordino"
"Lederman, Hill","Quantum Physics for Poets"
"Levi","Se non ora, quando?"
"Lupton","The Quantified Self"
"Martin","Clean Code"
"Marzo Magno","L' inventore di libri. Aldo Manuzio, Venezia e il suo tempo"
"Mercadini","La storia perfetta dell’errore"
"Murnane","The Plains"
"Notarberardino","Fuori di Testo"
"Orlean","The Orchid Thief"
"Paulo Coelho","Il manoscritto ritrovato ad Accra"
"Pontiggia","Dentro la sera"
"Postman","Amusing Ourselves to Death"
"Proust","À la recherche du temps perdu"
"Rovelli","Hegoland"
"Salinger","The Catcher in the Rye"
"Snowden","Permanent Record"
"Stinson","The Bro Code"
"The Andre","Io è un altro"
"Tolstoj","Guerra e pace"
"Tolstoy","La Sonata Kreutzer"
"Véliz","Privacy is Power"
"Vladimir Vladimirovič Nabokov","Lolita"
"Watzlawick","Istruzioni per rendersi infelici"
"Wilde","Only Dull People Are Brilliant at Breakfast"
"Williams","Stoner"
"Zerocalcare","Dimentica il mio nome"
"Vogler","The Writer's Journey: Mythic Structure for Writers"
