author,title,isbn,location,when,where,started,finished,notes
Aderin-Pocock,The Planets,9781409353058,Attic,,,,,
Alloisio,Il Mio amico Giorgio Gaber,9788851149680,Attic 2R,2018,gift by dad,,paused,autografo
"Ambrosini, Cardone, Cuccu",Introduzione al linguaggio del film,9788843075775,Attic 2R,,,,,
Andreoli,Il Rumore delle Parole,9788817109291,Attic 2R,2019-12-25,Christmas gift by Meggie,,,
Arnold,"Aerei, mongolfiere, dirigibili",8884515866,Attic,,,,,
Baccalario,Century – L’Anello di Fuoco,9788856617405,given away,,,,,
Baccalario,Century – La Stella di Pietra,9788856619638,given away,,,,,
Baccalario,Lo spacciatore di fumetti,9788879268936,Attic,,,,,messaggio
Baccalario,Ulysses Moore ,9788856617399,Attic,,,,,
Baccalario,Ulysses Moore 12 - Il Club dei viaggiatori immaginari,9788856618693,Attic,,,,,
Baccalario,Ulysses Moore 2 - La Bottega delle Mappe Dimenticate,9788856613773,???,,,,,
Baccalario,Ulysses Moore 3 - La Casa degli Specchi,9788856614237,???,,,,,
"Baccalario, Gatti",Candy Circle - Il tempio degli scorpioni di smeraldo,8804582227,Attic,,,,,
"Baccalario, Gatti",Candy Circle 1,8804543027,lent,,,,,
"Baccalario, Gatti",Candy Circle 2 - Attenti al guru,9788804543039,Attic,,,,,
"Baccalario, Gatti",Candy Circle 3 - Salsicce e misteri,9788804545880,Attic,,,,,
"Baccalario, Gatti",Candy Circle 4 - Tutti addosso al drago rosso,9788804545934,Attic,,,,,
"Baccalario, Gatti",Candy Circle 5 - Quando il bomber fa cilecca---,9788804548201,Attic,,,,,
"Baccalario, Gatti",Candy Circle 6 - Pecore alla deriva,9788804548362,Attic,,,,,
"Baccalario, Gatti",Candy Circle 7 - Faccia di menta,9788804552468,Attic,,,,,
"Baccalario, Gatti",Candy Circle 8 - Chi ha paura del Candy Circle?,9788804554882,Attic,,,,,
"Baccalario, Gatti",I gialli di vicolo Voltaire - La baronessa nel baule,9788856612516,Attic,,,,1,autografo
Baccalario,L'ombra di Amadeus,9788856635300,Attic,,,,,
Baden Powell,Rovering To Success,1000046503,Attic 2R,2019-12-30,Amazon,,,
Barison,Le stelle cadranno tutte insieme,9788860445469,Attic,2018,,2018-05,2018-05,
Battiston,Fare Spazio,9788893448826,Attic,43824,gift by Zio Luca,,,
Battiston,La Prima Alba del Cosmo,9788817141901,Attic 2R,2019-12-25,Christmas gift by Zio Luca,,,
Bauman,Liquid Modernity,9780745624105,Attic,2021-05-21,Amazon,2021-05-21,,
Beinhart,Il bibliotecario,9788809059979,Attic 2R,,,,,
"Bigon, Regazzoni",I nodi,8804355565,Attic,41175,gift by Marina (per Cresima),,,
Borrometi,Un morto ogni tanto,9788828200710,Attic 2R,,,,,
Bosh,Se state leggendo questo libro è già troppo tardi,9788804584957,Attic,,,,,
Brizzi,Il pellegrino dalle braccia d’inchiostro,9788804489450,Attic 2R,2020,cantina,,,
Bruno,Ossidea: La guerra dei giganti,9788862564564,given away,,,,,
Burgess,A Clockwork Orange,9780241951446,Attic 2R,2019-07-08,gift by Zio Luca,,,dedica
Calvino,Le città invisibili,9788804668022,Attic 2R,2020-12-25,gift by Zio Luca,,,
Calvino,Orlando Furioso,9788804616962,Attic,,,,,
Cameron,Someday this pain will be useful to you,9780312428167,Attic,2019,,,,
Camilleri,Il tailleur grigio,9788804701187,Attic 2R,2018,Salone del Libro,,,
Campioni,Anything is Possible,9791220033824,Attic,43824,gift by famiglia Cicala,,,
Capote,Un Natale,9788811607427,Attic 2R,2020-12-25,Gift by Roberta Sapere,,,dedica
Cardini,L'Islam è una minaccia (Falso!),9788858123690,Attic,2016,gift by Zio Luca,,,
Carnegie,Come diventare un comunicatore eccezionale,9788830100404,Attic 2R,2020-07-07,gift by Ludovica Calza,,,
Caroli,L'arte italiana in quindici weekend e mezzo,9788804687184,Attic 2R,43289,gift by Zio Luca,,,dedica
Carroll,Read this if you want to take great photographs of people-,9781780676241,Attic 2R,2018-06,The Photography Museum London,,,
Castagna,Petrademone 1 - Il Libro delle Porte,9788804684114,Attic,2019-07-20,Amazon,,1,autografo
Castaldo,Il Romanzo della Canzone Italiana,9788806235895,Attic 2R,2021-03-05,gift by Luci,,,
Catalano,Tu Che Non Sei Romantica,9788817109239,Attic,2019-11-28,Amazon,2019-12-03,2019-12-10,
Cavedon,Astronomia,,Attic,ritrovamenti,Zio Luca,,,
Cervini,Santo Stefano al Mare - Chiesa parrocchiale e oratorio,8871720571,Attic,,,,,
Champion,Manuale pratico di sopravvivenza per giovani esploratori,9788876964350,Attic,,,,,
"Chiapello, Garavagno",Galeone Liceo,9788866176695,Attic 2R,2020-08-02,gift by mum and dad,,,didica mamma e papà + autografo Duccio
Christie,Assassinio sull'Orient Express,,Attic,ritrovamenti,cantina,,,
Christie,Avversario segreto,9788804649083,Attic 2R,,,,,
Christie,Dieci Piccoli indiani,9788804616986,Attic,,,,,
Christie,In tre contro il delitto,8804398108,?,,,,,
Christie,Miss Marple: Le ricette del delitto,,Attic,ritrovamenti,cantina,,,
Christie,Monsieur Poirot: 4 casi del celebre investigatore,,Attic,ritrovamenti,cantina,,,
Codogno,Matematica in pausa caffè,9788875784546,Attic,,,,,
Conan Doyle,Sherlock Holmes - Investigatore Privato,8841531851,Attic,,gift by Zio Gian,,,dedica
Conan Doyle,Sherlock Holmes - tutti i romanzi,9788806199623,Attic,,,,,
Conan Doyle,Tutto Sherlock Holmes,9788854113671,Attic,,gift by someone,,,
Cotto,Rock Live,9788804718390,Attic,2019-12-25,gift by Fra Maccario,,,
Cristoforetti,Diario di un’apprendista astronauta,9788893445757,Attic 2R,2019-11-07,Amazon,,,autografo
Daniele,La farfalla d'oro,9788888591513,Attic,2010,gift by Dario Daniele,,,
Daniele,Vorrei essere un gatto,9788894917284,Attic 2R,,gift by Dario Daniele,,,dedica e autografo di Dario e Sara (illustratrice)
Dave The Chimp,Ways to deal,,Attic,,swag at workshop magazzini del vapore Milano,,,
De Bono,Il Pensiero Laterale,9788817117272,Venezia,2020-09-29,used books stand in Venezia,,,
De Castellane,L’Arte di essere povero,9788861581098,Venezia,2020-09-29,used books stand in Venezia,,,
De Fombelle,Tobia,9788821558931,Attic,,,,,
de Saint-Exupéry,Il piccolo principe,9788845230455,Attic,2012-07,Vacanze di Branco,,,dedica
"De Silva, Amlo",Degenerati,9788897089858,Attic,2019-09-15,event,2019-12-10,2019-12-18,autografo
Descartes,Meditations on First Philosophy,9781107665736,Venezia,2020-09-25,Amazon,,,
Dostoevskij,Delitto e Castigo,9788804671879,Attic,,gift by Zio Luca,1,,
Duckett,HTML and CSS,9781118008188,Attic,2020-03,Amazon,,,
Duckett,JavaScript & jQuery,9781118531648,Attic,2020-03,Amazon,,,
Dumas,Il Conte di Montecristo,9788806225186,Attic,,gift by Zio Luca,,,
"Einstein, Infeld",L’evoluzione della fisica,9788833922584,Attic 2R,,Amazon,,,
Evans,Manuale pratico di vela,9788864910208,Attic,,,,,
Eyal,Indistractable: How to Control Your Attention and Choose Your Life,9781526610225,Attic 2R,2019-10-08,Amazon,,,
"Faraci, Wallie",Un sogno chiamato Giffoni,9788807550591,Attic 2R,2020-08-29,gift by Giffoni,,,
Ferrari,Noi abbiamo futuro,9788871689067,Attic,2019-09-14,"Teen Parade 2019, Genova",2019-09-14,2019-09-15,dedica e autografo
Feynman,QED,9788845925344,Attic,,gift by Zio Luca,,,
Feynman,Sei Pezzi Facili,9788845915512,Attic,Natale,gift by Mattia Cretarola,,,
Finnegan,Giorni Selvaggi,9788898970582,Attic 2R,2020-07-08,gift by Camilla Cianci e Alessandro Rebora,,,
Fofi,Il secolo dei giovani e il mito di James Dean,9788834604731,Attic,2020-12-25,gift by mum and dad,2020-12-25,,
Foschi,Il castigo di Attila,9788866322153,Attic,,,,1,
Frey,Endgame,9788842925019,Attic,,gift by Fra,,,
Frova,Perché accade ciò che accade,9788817107976,Attic,,gift by Claudia Carli,,,
Gardner,Enigmi e giochi matematici,9788817127479,Attic,2014,,,,
Gardner,The Ambidextrous Universe,,Attic,2018-06,London,,,indirizzo di Elena Leonardi nella prima pagina
Geda,Per il resto del viaggio ho sparato agli indiani,9788807720765,Attic 2R,2012-12,gift by Miti to mum,,,dedica
Goethe,I dolori del Giovane Werther,8883373456,Attic,2019-12-30,Amazon,2020-04,43936,
"Goso, Don Diego",Il manuale del perfetto chierichetto,9788869292545,Attic,43232,gift by Mimmo Marrara,,,
Gozzano,Tutte le Poesie,9781545508220,Attic,2019-10-18,Amazon,,,
Green,Città di carta,9788817082556,Attic,,gift by Fra,,,dedica
Gregson,Sherlock Holmes e il mistero del golf club,9788889096901,Attic,,,,,
Grisham,Theodore Boone: kid lawyer,9780142417225,Attic,,,,,
Grisham,Theodore Boone: L'accusato,9788804618799,Attic,,,,1,
Grisham,Theodore Boone: La Ragazza Scomparsa,9788804613343,gift to Matteo Boniardi,,,,1,
Grisham,Theodore Boone: The Abduction,9781444714548,Attic,,,,,
"Guccini, Macchiavelli",La pioggia fa sul serio,9788804701187,Attic 2R,2018-05,Salone del Libro di Attic,,,
Gungui,Achille e la fuga dal mondo bianco,9788804593133,Attic,,,,1,
Halpern,I dadi di Einstein e il gatto di Schrödinger,9788860308092,Attic,43289,gift by Giacomo Borghi,,,
Hans M- Enzensberger,Il mago dei numeri,9788806173043,Attic,40902,,,,dedica
Hawking,La chiave segreta per l'universo,9788804591894,Attic,40902,gift by Jari Marenco e Elisa,,,
Hemingway,The first forty-nine stories,9780099339212,Attic,2018-07-18,Amazon,,,
Hume,An Enquiry concerning Human Understanding,9780199211586,Venezia,2020-09-29,Amazon,,,
Jamar,Vincent,9782505064138,Attic bottom,,gift by Zio Luca,,,
Jane Shaw,London Guide,9780241277300,Attic,,,,,
Jaynes,Sherlock Holmes e lo squartatore di Chilford,9788895724140,Attic,,,,,
Jovanotti Cherubini,Gratitude,9788806218348,Attic 2R,2016,gift by Zia Alda,,,
Joyce,Ulysses,9781840226355,Attic 2R,2019-12-30,Amazon,,,
Kahneman,Pensieri lenti e veloci,9788804671954,Attic 2R,43289,gift by Vlad e Luca Chiaia,,,
Kakalios,La Fisica dei supereroi,9788806221485,Attic,Natale,gift by Claudia Carli,,,
Kasius,Sherlock Holmes - The essential mysteries in one sitting,9780762448692,Attic,,,,,
Kipling,Il libro della Giungla,9788809765986,Attic,,,,,
Kipling,The Jungle Book & The Second Jungle Book,9781840227550,Attic 2R,2020-01-05,Amazon,,,
Lanier,Ten Arguments For Deleting Your Social Media Accounts,9781250196682,Attic,2020-08-29,Amazon,2020-09-10,2020-09-15,
Lane,Young Sherlock Holmes - Ghiaccio Sporco,9788841885680,Attic,,,,,
Lane,Young Sherlock Holmes - Tempesta Assassina,9788841896488,Attic,,,,,
Lewis,Le Cronache di Narnia 2,9788804599043,Attic,,,,,
Lewis,Le Cronache di Narnia 3,9788804599067,Attic,,,,,
Lewis,Le Cronache di Narnia 4,9788804599036,Attic,,,,,
Lewis,Le Cronache di Narnia 5,9788804599098,Attic,,,,,
Lewis,Le Cronache di Narnia 6,9788804599081,Attic,,,,,
Lewis,Le Cronache di Narnia 7,9788804599074,Attic,,,,,
"Liotta, Clementi",La rivolta della natura,9788834603659,Attic 2R,2020-07-08,gift by Luci,,,
London,L'amore della vita,8870687554,Attic,,,,,
Lupi,Vittò - Giuseppe Vittorio guglielmo,9788862883191,Attic,2019,ANPI Sanremo,,,
Machiavelli,Il Principe,9771824876355,Attic 2R,2021-02-27,"Commercio equo, Padova",,,acquistato usato a 3€
Marziale,Epigrammi,9788817129800,Attic,2019-10-18,Amazon,,,testo latino a fronte
Mazzariol,Gli Squali,9788806237462,Attic,43654,gift by mum and dad,,,dedica e autografo fatto a Giffoni 2019
Mercanti,Le attività del Trapper,9788830405820,Attic,,Zio Luca,,,messaggio iniziale
Micela,Nascita e morte delle stelle,9788815258144,Attic,,gift by Zio Luca,,,
Minà,Storia di un boxeur latino,9788833891651,Attic,2020-07-08,gift by mum and dad,2020-07-13,2020-07-20,dedica
Minuto,Atlante del Cielo,885390030X,Attic,2016-09,Saint Barthelemy,,,
Molinari,Il califfato del terrore,9788817085120,Attic 2R,2016,gift by Zio Luca,,,
Molnar,I Ragazzi della via Paal,,Attic,,,,,
Montesano,Come diventare vivi: Vademecum per lettori selvaggi,9788845295263,Attic,!,Salone del Libro di Attic,!,!,autografo
Moore,L'uomo che odiava Sherlock Holmes,9788817047241,Attic,42840,gift by Zio Gian,,,dedica
Morosinotto,La notte dei biplani,9788834717486,Attic 2R,,,,,
Murakami,L'assassinio del governatore,9788806237615,Attic 2R,,,,,
Murch,In un batter d’occhi,9788867088591,Attic 2R,2020-07-07,"gift by Lele, Bene Capponi, Steff, Gaia Santone",,,
Navarro,What Every Body Is Saying,9780061438295,Attic 2R,2019-11-28,Amazon,,,
Neil,Practical Vim,9781680501278,Attic,2020-03,gift by Nonna Gogò,,,
Neri,Radiotecnica per radioamatori,8886622015,Bedroom,,,,,
O’Connor,Complete Stories,9780571245789,Venezia,2020-08-04,gift by zio Luca,,,
Orwell,Animal Farm,9780141036137,Attic,2017,gift by Zio Luca,,1,
Orwell,Nineteen Eighty-Four,9780241341650,Attic 2R,2020-12-25,gift by zio Luca,,,
Papa Francesco,Christus vivit,97888892218918,Attic 2R,,,,,
Papa Francesco,Fratelli tutti,+++,Venezia,2021-02-19,gift by CoCa Mira 1,,,
Percivale,Messaggio dall'Impossibile,9788866562375,Attic,,,,,
Percivale,Ribelli in fuga,9788866560548,Attic,,,,1,
Percivale,Typos 0.3 Rivelazione,9788834719299,Attic,,,,,
"Pini, Don Gigi",Un po' del Vangelo di Giovanni,,Attic 2R,2019-08-03,gift by Don Gigi Pini,,,dedica e autografo di Don Gigi
Quirico,Testimoni del nulla,9788858141205,Attic 2R,2020-12-25,gift by mum and dad,,,
Rampini,Oriente e Occidente,9788806245481,Attic 2R,2020-08-02,gift by dad,,,autografo
Rampini,Rete padrona,9788807887185,Attic,,,,,
Randall,Hyperversum 1 - Il falco e il leone,9788809750395,?,,gift by Zio Luca,,1,
"Ridpath, Tirion",guida delle stelle e dei pianeti,8870213072,Attic,,,,,
Riotta,Il mondo di Steve McCurry,9788891800237,Attic,,gft by mum and dad,,,
Roggero,Polo Nord e Polo Sud - Viaggio ai confini della terra,9788817062480,Attic,,,,,
Rondelli,Cos’hai da guardare,9788804709343,Attic 2R,2019-10-19,,,,autografo
"Rondolino, Tomasi",Manuale di Storia del cinema,9788860084064,Attic 2R,,Amazon,,,
Roskin,Political Science,9781292156248,reading,2021-02-10,Al Canal,2021-02-10,,printed copy
Rowling,Gli animali fantastici: dove trovarli,9788862562690,Attic,,,,,
Rowling,Harry Potter and The Chamber of Secrets,9781408855669,Attic,,,,,
Rowling,Harry Potter and The Philosopher Stone,9781408810545,Attic,,,,,
Rowling,Harry Potter and The Prisoner of Azkaban,9781408865415,Attic,2019,Amazon,2019-12-18,-,
Rowling,Harry Potter e i doni della morte,9788862562836,Attic,,,,,
Rowling,Harry Potter e il calice di fuoco,9788862561518,Attic,,,,,
Rowling,Harry Potter e il prigioniero di Azkaban,9788884516121,Attic,,,,,
Rowling,Harry Potter e il principe mezzosangue,9788884516374,Attic,,,,,
Rowling,Harry Potter e l'ordine della fenice,9788862561525,Attic,,,,,
Rowling,Harry Potter e la camera dei segreti,9788877827036,Attic,,gift by Nonna Gogò,,,
Rowling,Il Quidditch attraverso i secoli,9788862562706,Attic,,,,,
Schopenhauer,L'arte d insultare,9788845914805,Attic,2019,,,,
Schopenhauer,L'arte di conoscere se stessi,9788845917721,Attic,2019,,,,
Schopenhauer,L'arte di essere felici,9788845912955,lent to Marta Mallucci,2019,,2020-07-20,2020-07-27,
Schopenhauer,L'arte di farsi rispettare,9788845913747,Attic,2019,,,,
Schopenhauer,L'arte di ottenere ragione,9788845908569,Attic,2019,,,,
Scola,Postcristianesimo?,9788831727099,Venezia,2020-09-29,used books stand in Venezia,,,
Scott Fitzgerald,Il grande Gatsby,,Attic,,,,,
Seil,Sherlock Holmes e la tragedia del Titanic,9788895724560,Attic,41345,gift by Zio Gian,,1,dedica
Selznick,La straordinaria invenzione di Hugo Cabret,9788804614159,Attic,,,,,
Sgardoli,Typos 0.2 Cartabianca,9788834719282,Attic,,,,,autografo
Shultz,Aerei di carta,8873072860,Attic,,gift by ,,,
Simenon,I Fantasmi del Cappellaio,9788845926730,Attic,,,,,
Simenon,Maigret e i testimoni reticenti,,Attic,ritrovamenti,cantina,,,
Simeone,Semplice,9788897165415,Attic,,,,1,autografo
Sparrow,Physics in munutes,9781782066484,Attic,,,,,
Sterne,"The life and opinions of Tristram Shandy, Gentleman",9781853262913,Attic,2019,Amazon,,,
Stevenson,L'isola del tesoro,9788861752412,Attic,,,,,
Stevenson,Lo strano caso del Dr. Jekyll e del Sig. Hyde,,Attic,,,,,
Svevo,La coscienza di Zeno,8806118269,Attic,,,,,
Swift,Gulliver’s Travels,9781853260278,Attic 2R,2020-01-05,Amazon,,,
Teatro Regio Attic,Carmen - libretto,18253504,Attic,2019-12-10,event,1,,
Teatro Regio Attic,Nabucco - libretto,18253504,Attic,,,,,
Teatro Regio Attic,Tosca - libretto,18253504,Attic,2019-10-18,event,1,,
Thich Nhat Hanh,The art of communicating,9781846044007,Attic 2R,,,,,
Tolkien,Il signore degli anelli,9788845210273,Attic,,gift by Miti,,,dedica
Tolkien,Lo Hobbit,9788845927553,Attic,,gift by Zio Luca,,,
Trova,Sentieri di Frontiera,9788877072207,Attic,Pasqua 2016,gift by Zio Gian,,,
Truffaut,Il cinema secondo Hitchcock,9788842820086,Attic 2R,2019,Amazon,,,
Twain,Le Avventure di Tom Sawyer,9788879264846,Attic,,,,,
Vaschetto,Sentieri sul Mare,9788877071392,Attic,42527,Recco,,,
Verne,Cèsar Cascabel,,Attic,ritrovamenti,Zio Luca,,,
Verne,"I figli del capitano Grant, vol. 1 (Australia e Oceano Pacifico)",9788842537304,Attic,,,,,
Verne,"I figli del capitano Grant, vol. 2 (America del sud)",9788842537298,Attic,,,,,
Verne,Il giro del mondo in ottanta giorni,9788861753020,Attic,40012,Vacanze di Branco,,,dedica
Verne,Il giro del mondo in ottanta giorni,9788861753020,Attic,,,,,
Verne,L'isola misteriosa,9788841846810,Attic,,,,,
Verne,Ventimila leghe sotto i mari,9788841860021,Attic,,,,,
Verne,Viaggio al centro della terra,9788865260999,Attic,,,,,
Vincent,A history of Solitude,9781509536580,Attic 2R,2020-12-25,gift by mum and dad,,,dedica
Viola,Bikesofia - Filosofia della bicicletta,9788869832154,Attic 2R,2019-12-25,Christmas gift by famiglia Cicala,,,autografo
Voltaire,Lettere Filosofiche,,Attic,,,,,
Warburton,"Philosophy, the basics",9780415693165,Attic,2020-12-28,Amazon,1,2021-01-10,
Wilde,The Picture of Dorian Gray,9781853260155,Attic 2R,2020-01-05,Amazon,,,
Williams,Il grande libro dei fatti straordinari,9788836545667,Attic,,,,,
Wilson,Il grande libro dei misteri irrisolti,888289732X,Attic,,gift by Luci,,,
,Atlante geografico moderno,8841554002,Attic,,,,,
,Catechismo della Chiesa Cattolica - Compendio,8821555062,Attic,,gift by nonno Bruno,,,
,Le risposte dell'oracolo,9788863864618,Attic,,,,,
,"Nodi per la barca, lo sport e il tempo libero",9788841203934,Attic,,,,,
,Star Wars - La guida ai personaggi dalla A alla Z,9788898937004,Attic,2017,Feltrinelli Genova,,,
,The Photography Book,071483937X,Attic,2018-06,in a stand in London,1,,
Lamanna,Letture Filosofiche – Dal Rinascimento a Kant,8800453457,Venezia,2021-04-30,"Book crossing shelf Santa Elena, Venezia",,,
Conan Doyle,Il mondo perduto,8845251608,Venezia,2021-04-30,"Book crossing shelf Santa Elena, Venezia",,,
