name,city,link,lat,lon,tags,img,date
Casa Campo,Venezia,,45.4347241472807,12.3239090406239,home,,2021-04-13T12:53:55+02:00
Il Cubo,Sanremo,https://tommi.space/cubo,43.82182,7.81606,,,2018
Brillo Parlante,Venezia,,45.43822,12.32693,,https://tommi.space/images/brillo-parlante.jpg,2021-05-15T15:26:12+02:00
Xplosion Attic,Riva Ligure,https://tommi.space/xplosion-attic,43.83586,7.87679,home,,2000
La Casbah,Sanremo,https://www.facebook.com/lacasbahsanremo/,43.81854,7.77591,,,2017
La Fesseria,Napoli,https://www.facebook.com/fesseria/,40.84771,14.25678,,,2020-07
Il Circolo dei Lettori,Torino,https://www.circololettori.it/,45.06856,7.68771,,,2019-11
Sala Studio 3,Torino,https://www.polito.it/ateneo/sedi/index.php?bl_id=TO_CEN04&fl_id=XPTE&rm_id=P005&lang=it,45.06418,7.66165,,,2020-02-07
L’Angolo dei Sapori,Amalfi,https://www.facebook.com/L-Angolo-Dei-Sapori-prodotti-tipici-agerolesi-Amalfi-256224698501009/,40.63772,14.60149,,,
Arco sulla spiaggia,Amalfi,,40.63355,14.60488,,,2020-08-25
Ingordo,Salerno,https://www.facebook.com/IngordoSalerno/,40.67889,14.75684,,,2020-08-30
Al Canton,Venezia,https://tommi.space/al-canton,45.43427,12.31684,,,2020-11
Ca’ Foscari Zattere,Venezia,https://www.unive.it/pag/13665/,45.42994,12.32494,,,2020-11
